#Epch  SVN  Week   Week-Sec          X[km]         Y[km]          Z[km]           T[Ms]
#====  ===  ====  =========  =============  =============  =============  =============
    1  G12  2205  432000.00   -9312.809777  -24894.455927    1321.837020    -200.447034
    2  G12  2205  432900.00   -9110.840778  -24987.259566   -1543.880181    -200.452321
    3  G12  2205  433800.00   -8785.965441  -24795.494810   -4383.291536    -200.457679
    4  G12  2205  434700.00   -8306.837202  -24341.137597   -7148.198428    -200.462962
    5  G12  2205  435600.00   -7647.347200  -23653.157005   -9791.938203    -200.468565
    6  G12  2205  436500.00   -6787.772019  -22766.333106  -12270.124003    -200.473665
    7  G12  2205  437400.00   -5715.675310  -21719.882228  -14541.333192    -200.478972
    8  G12  2205  438300.00   -4426.533635  -20555.942252  -16567.737598    -200.483954
    9  G12  2205  439200.00   -2924.067007  -19317.974062  -18315.670159    -200.489229
   10  G12  2205  440100.00   -1220.265006  -18049.136863  -19756.123716    -200.494503
   11  G12  2205  441000.00     664.890342  -16790.694871  -20865.178580    -200.500047
   12  G12  2205  441900.00    2703.993813  -15580.510981  -21624.356101    -200.505128
   13  G12  2205  442800.00    4863.057798  -14451.679567  -22020.895924    -200.510403
   14  G12  2205  443700.00    7102.595448  -13431.345692  -22047.954780    -200.515802
   15  G12  2205  444600.00    9378.909116  -12539.751851  -21704.724821    -200.521260
   16  G12  2205  445500.00   11645.540300  -11789.546046  -20996.469508    -200.526465
   17  G12  2205  446400.00   13854.831661  -11185.376647  -19934.475163    -200.531392
   18  G12  2205  447300.00   15959.547483  -10723.790300  -18535.916403    -200.536827
   19  G12  2205  448200.00   17914.496066  -10393.439216  -16823.634043    -200.541933
   20  G12  2205  449100.00   19678.096424  -10175.593758  -14825.824553    -200.547044
   21  G12  2205  450000.00   21213.832182  -10044.945555  -12575.641020    -200.552306
   22  G12  2205  450900.00   22491.538067   -9970.675673  -10110.706741    -200.557673
   23  G12  2205  451800.00   23488.468773   -9917.752073   -7472.544048    -200.562918
   24  G12  2205  452700.00   24190.106461   -9848.410976   -4705.922885    -200.568330
   25  G12  2205  453600.00   24590.671527   -9723.768315   -1858.135759    -200.573217
   26  G12  2205  454500.00   24693.311501   -9505.500646    1021.791872    -200.578768
   27  G12  2205  455400.00   24509.954781   -9157.530093    3883.944218    -200.583759
   28  G12  2205  456300.00   24060.828869   -8647.645599    6678.396674    -200.589106
   29  G12  2205  457200.00   23373.656552   -7948.993166    9356.119811    -200.594268
   30  G12  2205  458100.00   22482.557266   -7041.371277   11869.887347    -200.599441
   31  G12  2205  459000.00   21426.694162   -5912.274106   14175.168073    -200.604768
   32  G12  2205  459900.00   20248.719364   -4557.634619   16230.980846    -200.609969
   33  G12  2205  460800.00   18993.079837   -2982.231655   18000.691583    -200.615070
   34  G12  2205  461700.00   17704.253645   -1199.739234   19452.731940    -200.620013
   35  G12  2205  462600.00   16424.990479     767.588054   20561.220885    -200.625229
   36  G12  2205  463500.00   15194.631020    2889.583550   21306.472790    -200.630476
   37  G12  2205  464400.00   14047.576700    5129.164874   21675.378755    -200.635497
   38  G12  2205  465300.00   13011.974897    7443.617238   21661.651557    -200.640587
   39  G12  2205  466200.00   12108.674901    9786.109935   21265.928703    -200.645769
   40  G12  2205  467100.00   11350.497573   12107.381953   20495.732320    -200.650981
   41  G12  2205  468000.00   10741.847297   14357.525598   19365.288822    -200.656444
   42  G12  2205  468900.00   10278.679268   16487.793445   17895.215268    -200.661490
   43  G12  2205  469800.00    9948.819371   18452.353976   16112.082873    -200.666882
   44  G12  2205  470700.00    9732.618590   20209.924796   14047.871077    -200.671978
   45  G12  2205  471600.00    9603.909915   21725.218988   11739.327878    -200.677262
   46  G12  2205  472500.00    9531.223628   22970.149528    9227.253660    -200.682397
   47  G12  2205  473400.00    9479.207235   23924.748120    6555.726562    -200.687480
   48  G12  2205  474300.00    9410.189405   24577.767592    3771.287554    -200.692861
   49  G12  2205  475200.00    9285.823233   24926.950575     922.102848    -200.698128
   50  G12  2205  476100.00    9068.742959   24978.960745   -1942.879728    -200.703223
   51  G12  2205  477000.00    8724.169796   24748.986001   -4774.765194    -200.708080
   52  G12  2205  477900.00    8221.406376   24260.034962   -7525.523202    -200.713782
   53  G12  2205  478800.00    7535.165311   23541.958838  -10148.765426    -200.719052
   54  G12  2205  479700.00    6646.684973   22630.239650  -12600.478666    -200.724195
   55  G12  2205  480600.00    5544.594460   21564.592868  -14839.705511    -200.729246
