#Epch  SVN  Week   Week-Sec          X[km]         Y[km]          Z[km]           T[Ms]
#====  ===  ====  =========  =============  =============  =============  =============
    1  R01  2205  432000.00  -11576.918589   12064.380026  -19262.434977       7.799402
    2  R01  2205  432900.00  -11157.542774    9625.788054  -20818.029738       7.799820
    3  R01  2205  433800.00  -10902.181298    6997.024618  -21969.198982       7.800138
    4  R01  2205  434700.00  -10835.531332    4241.078954  -22693.521930       7.800085
    5  R01  2205  435600.00  -10970.859822    1425.376458  -22976.865610       7.800663
    6  R01  2205  436500.00  -11309.386599   -1380.785082  -22813.663478       7.800940
    7  R01  2205  437400.00  -11840.192132   -4108.875278  -22207.028034       7.801060
    8  R01  2205  438300.00  -12540.654413   -6693.737871  -21168.694978       7.801198
    9  R01  2205  439200.00  -13377.397160   -9076.056590  -19718.799594       7.801616
   10  R01  2205  440100.00  -14307.709967  -11204.578040  -17885.489257       7.801371
   11  R01  2205  441000.00  -15281.381014  -13037.999547  -15704.379100       7.801518
   12  R01  2205  441900.00  -16242.865379  -14546.443727  -13217.860983       7.801835
   13  R01  2205  442800.00  -17133.697560  -15712.458787  -10474.278897       7.801988
   14  R01  2205  443700.00  -17895.046271  -16531.503398   -7526.986714       7.802291
   15  R01  2205  444600.00  -18470.303246  -17011.896670   -4433.306709       7.802124
   16  R01  2205  445500.00  -18807.596140  -17174.236350   -1253.409489       7.802775
   17  R01  2205  446400.00  -18862.118657  -17050.310880    1950.862329       7.803052
   18  R01  2205  447300.00  -18598.178688  -16681.552411    5117.203059       7.803012
   19  R01  2205  448200.00  -17990.877198  -16117.097346    8184.061197       7.803135
   20  R01  2205  449100.00  -17027.346305  -15411.537536   11091.840525       7.803154
   21  R01  2205  450000.00  -15707.493752  -14622.458239   13784.061079       7.803258
   22  R01  2205  450900.00  -14044.221928  -13807.867731   16208.456999       7.803362
   23  R01  2205  451800.00  -12063.111851  -13023.627746   18317.989805       7.803258
   24  R01  2205  452700.00   -9801.585036  -12320.993480   20071.757575       7.803692
   25  R01  2205  453600.00   -7307.578001  -11744.366889   21435.782862       7.803987
   26  R01  2205  454500.00   -4637.784428  -11329.357645   22383.664738       7.804405
   27  R01  2205  455400.00   -1855.537799  -11101.232857   22897.083152       7.804615
   28  R01  2205  456300.00     971.577987  -11073.820114   22966.146702       7.804684
   29  R01  2205  457200.00    3774.291479  -11248.909291   22589.577890       7.805207
   30  R01  2205  458100.00    6484.274558  -11616.177636   21774.732884       7.805302
   31  R01  2205  459000.00    9036.733273  -12153.640854   20537.455846       7.805770
   32  R01  2205  459900.00   11372.852306  -12828.610985   18901.770762       7.806277
   33  R01  2205  460800.00   13441.992883  -13599.120807   16899.416632       7.807234
   34  R01  2205  461700.00   15203.554054  -14415.755091   14569.234686       7.807302
   35  R01  2205  462600.00   16628.421151  -15223.811986   11956.418992       7.807076
   36  R01  2205  463500.00   17699.942215  -15965.703998    9111.644418       7.807041
   37  R01  2205  464400.00   18414.392640  -16583.497801    6090.088262       7.807185
   38  R01  2205  465300.00   18780.909513  -17021.486135    2950.364061       7.807162
   39  R01  2205  466200.00   18820.899133  -17228.683464    -246.612134       7.807357
   40  R01  2205  467100.00   18566.943195  -17161.139991   -3438.801213       7.807732
   41  R01  2205  468000.00   18061.250076  -16783.976064   -6564.243372       7.808114
   42  R01  2205  468900.00   17353.716778  -16073.050518   -9562.259994       7.807979
   43  R01  2205  469800.00   16499.683418  -15016.191756  -12374.631575       7.808127
   44  R01  2205  470700.00   15557.475085  -13613.938589  -14946.728661       7.808080
   45  R01  2205  471600.00   14585.834822  -11879.758403  -17228.573685       7.808695
   46  R01  2205  472500.00   13641.356014   -9839.732048  -19175.813007       7.809574
   47  R01  2205  473400.00   12776.022455   -7531.717193  -20750.580217       7.810043
   48  R01  2205  474300.00   12034.959757   -5004.023675  -21922.233986       7.810295
   49  R01  2205  475200.00   11454.492868   -2313.654744  -22667.956149       7.810615
   50  R01  2205  476100.00   11060.591528     475.813744  -22973.198433       7.811035
   51  R01  2205  477000.00   10867.769220    3296.629020  -22831.969106       7.811416
   52  R01  2205  477900.00   10878.482106    6079.433295  -22246.953827       7.811479
   53  R01  2205  478800.00   11083.053453    8755.905698  -21229.468080       7.812010
   54  R01  2205  479700.00   11460.126970   11261.365047  -19799.241730       7.812436
   55  R01  2205  480600.00   11977.630157   13537.225685  -17984.039427       7.812630
   56  R01  2205  481500.00   12594.207280   15533.204542  -15819.123751       7.812830
   57  R01  2205  482400.00   13261.061559   17209.187779  -13346.571091       7.813159
   58  R01  2205  483300.00   13924.128773   18536.679501  -10614.453244       7.813336
   59  R01  2205  484200.00   14526.490217   19499.772404   -7675.900529       7.813219
   60  R01  2205  485100.00   15010.922565   20095.600304   -4588.064745       7.813167
   61  R01  2205  486000.00   15322.476232   20334.254338   -1411.002479       7.813559
   62  R01  2205  486900.00   15410.972412   20238.167269    1793.498928       7.813763
   63  R01  2205  487800.00   15233.312336   19840.992901    4963.129208       7.813851
   64  R01  2205  488700.00   14755.500269   19186.029002    8036.272496       7.814107
   65  R01  2205  489600.00   13954.293918   18324.251402   10953.209716       7.814069
   66  R01  2205  490500.00   12818.411849   17312.043317   13657.282002       7.814431
   67  R01  2205  491400.00   11349.246345   16208.716636   16095.992128       7.814545
   68  R01  2205  492300.00    9561.051147   15073.930391   18222.022392       7.814507
   69  R01  2205  493200.00    7480.595673   13965.115591   19994.149352       7.814552
   70  R01  2205  494100.00    5146.299751   12935.014929   21378.038093       7.815075
   71  R01  2205  495000.00    2606.884546   12029.440581   22346.901297       7.815264
   72  R01  2205  495900.00     -80.404578   11285.343788   22882.011161       7.815552
   73  R01  2205  496800.00   -2851.929887   10729.276500   22973.055091       7.815698
   74  R01  2205  497700.00   -5640.059924   10376.308753   22618.329105       7.815769
   75  R01  2205  498600.00   -8375.736238   10229.446260   21824.765817       7.816246
   76  R01  2205  499500.00  -10991.102689   10279.571789   20607.796905       7.816545
   77  R01  2205  500400.00  -13422.089298   10505.912086   18991.052857       7.816950
   78  R01  2205  501300.00  -15610.844552   10877.010233   17005.905718       7.817309
   79  R01  2205  502200.00  -17507.916246   11352.162311   14690.863363       7.817658
   80  R01  2205  503100.00  -19074.091265   11883.257885   12090.826529       7.817853
   81  R01  2205  504000.00  -20281.818684   12416.946901    9256.222446       7.817993
   82  R01  2205  504900.00  -21116.157697   12897.041883    6242.031271       7.818157
   83  R01  2205  505800.00  -21575.211529   13267.054258    3106.723722       7.818720
   84  R01  2205  506700.00  -21670.029764   13472.757857     -88.869864       7.818612
   85  R01  2205  507600.00  -21423.983686   13464.671257   -3282.737311       7.818790
   86  R01  2205  508500.00  -20871.641229   13200.353836   -6412.886447       7.818834
   87  R01  2205  509400.00  -20057.189079   12646.418045   -9418.547599       7.819430
   88  R01  2205  510300.00  -19032.468517   11780.172164  -12241.353273       7.819648
   89  R01  2205  511200.00  -17854.707749   10590.823234  -14826.471934       7.819723
   90  R01  2205  512100.00  -16584.046255    9080.188241  -17123.673743       7.819546
   91  R01  2205  513000.00  -15280.955323    7262.882201  -19088.307440       7.819697
   92  R01  2205  513900.00  -14003.663265    5165.973706  -20682.169391       7.819796
   93  R01  2205  514800.00  -12805.693517    2828.120747  -21874.247939       7.820154
   94  R01  2205  515700.00  -11733.618986     298.221373  -22641.328636       7.820489
