#Epch  SVN  Week   Week-Sec          X[km]         Y[km]          Z[km]           T[Ms]
#====  ===  ====  =========  =============  =============  =============  =============
    1  G05  2205  432000.00   -3724.139845  -24250.643005    9816.385885     -78.320327
    2  G05  2205  432900.00   -2929.934281  -23205.542269   12277.736455     -78.321719
    3  G05  2205  433800.00   -1947.175411  -21970.651487   14524.317943     -78.323030
    4  G05  2205  434700.00    -766.594126  -20587.391265   16516.645428     -78.324120
    5  G05  2205  435600.00     612.803203  -19099.960361   18219.715114     -78.325785
    6  G05  2205  436500.00    2183.482302  -17553.630516   19603.656667     -78.326681
    7  G05  2205  437400.00    3929.474348  -15993.009954   20644.286063     -78.327931
    8  G05  2205  438300.00    5826.812352  -14460.346916   21323.546760     -78.329440
    9  G05  2205  439200.00    7844.293122  -12993.942760   21629.829947     -78.330913
   10  G05  2205  440100.00    9944.533503  -11626.739173   21558.167825     -78.332133
   11  G05  2205  441000.00   12085.277236  -10385.136200   21110.297192     -78.333216
   12  G05  2205  441900.00   14220.898517   -9288.087453   20294.593928     -78.334590
   13  G05  2205  442800.00   16304.040619   -8346.506712   19125.882113     -78.336211
   14  G05  2205  443700.00   18287.323072   -7563.006626   17625.124398     -78.337638
   15  G05  2205  444600.00   20125.048962   -6931.976190   15819.002769     -78.338633
   16  G05  2205  445500.00   21774.844986   -6439.989655   13739.400947     -78.339963
   17  G05  2205  446400.00   23199.170757   -6066.526241   11422.801279     -78.341348
   18  G05  2205  447300.00   24366.640162   -5784.967957    8909.610115     -78.342482
   19  G05  2205  448200.00   25253.106132   -5563.832488    6243.426368     -78.343231
   20  G05  2205  449100.00   25842.470243   -5368.189782    3470.268128     -78.344814
   21  G05  2205  450000.00   26127.189961   -5161.204985     637.772096     -78.345965
   22  G05  2205  450900.00   26108.468248   -4905.746711   -2205.619929     -78.347303
   23  G05  2205  451800.00   25796.122455   -4565.998444   -5011.474013     -78.348477
   24  G05  2205  452700.00   25208.141244   -4109.011956   -7732.163939     -78.349636
   25  G05  2205  453600.00   24369.949478   -3506.144867  -10321.646448     -78.350620
   26  G05  2205  454500.00   23313.411142   -2734.329677  -12736.201480     -78.351793
   27  G05  2205  455400.00   22075.609178   -1777.128393  -14935.128092     -78.353055
   28  G05  2205  456300.00   20697.448392    -625.535122  -16881.387806     -78.353999
   29  G05  2205  457200.00   19222.133228     721.501807  -18542.188043     -78.355244
   30  G05  2205  458100.00   17693.575973    2256.856577  -19889.499186     -78.356463
   31  G05  2205  459000.00   16154.792993    3965.309449  -20900.499506     -78.357586
   32  G05  2205  459900.00   14646.346725    5823.934536  -21557.942815     -78.358686
   33  G05  2205  460800.00   13204.889459    7802.778690  -21850.444284     -78.360081
   34  G05  2205  461700.00   11861.861554    9865.808354  -21772.680333     -78.360773
   35  G05  2205  462600.00   10642.391546   11972.091842  -21325.499018     -78.362308
   36  G05  2205  463500.00    9564.438981   14077.176041  -20515.937909     -78.363454
   37  G05  2205  464400.00    8638.212645   16134.609232  -19357.147075     -78.364443
   38  G05  2205  465300.00    7865.887503   18097.555879  -17868.215651     -78.365605
   39  G05  2205  466200.00    7241.633285   19920.445032  -16073.901442     -78.367173
   40  G05  2205  467100.00    6751.956506   21560.591634  -14004.264274     -78.368254
   41  G05  2205  468000.00    6376.346117   22979.729825  -11694.205311     -78.369660
   42  G05  2205  468900.00    6088.201396   24145.399233   -9182.916282     -78.370572
   43  G05  2205  469800.00    5856.009387   25032.129484   -6513.244525     -78.372055
   44  G05  2205  470700.00    5644.728820   25622.374686   -3730.981906     -78.373100
   45  G05  2205  471600.00    5417.328284   25907.158292    -884.087850     -78.374405
   46  G05  2205  472500.00    5136.419098   25886.399343    1978.141049     -78.375415
   47  G05  2205  473400.00    4765.918220   25568.903339    4805.940294     -78.376549
   48  G05  2205  474300.00    4272.673923   24972.014305    7549.969266     -78.378098
   49  G05  2205  475200.00    3627.987283   24120.938556   10162.207691     -78.379293
   50  G05  2205  476100.00    2808.965725   23047.764572   12596.838002     -78.380448
   51  G05  2205  477000.00    1799.651020   21790.216498   14811.094391     -78.381850
   52  G05  2205  477900.00     591.872999   20390.190580   16766.059613     -78.382999
   53  G05  2205  478800.00    -814.208511   18892.133500   18427.391448     -78.384260
   54  G05  2205  479700.00   -2409.897934   17341.328769   19765.962306     -78.385452
   55  G05  2205  480600.00   -4178.104464   15782.161495   20758.397547     -78.387086
   56  G05  2205  481500.00   -6093.824083   14256.432821   21387.500693     -78.388222
   57  G05  2205  482400.00   -8124.943700   12801.793070   21642.556721     -78.389099
   58  G05  2205  483300.00  -10233.334306   11450.357241   21519.507825     -78.390353
