#Epch  SVN  Week   Week-Sec          X[km]         Y[km]          Z[km]           T[Ms]
#====  ===  ====  =========  =============  =============  =============  =============
    1  R09  2205  432000.00    -641.438643  -14232.377713  -21126.249873      49.817671
    2  R09  2205  432900.00    1434.776209  -12549.519360  -22135.347054      49.819450
    3  R09  2205  433800.00    3704.165566  -10961.584966  -22713.445325      49.821085
    4  R09  2205  434700.00    6116.767933   -9514.940494  -22849.556064      49.823055
    5  R09  2205  435600.00    8615.018537   -8246.708859  -22541.311264      49.824784
    6  R09  2205  436500.00   11135.936787   -7183.352601  -21794.988022      49.826833
    7  R09  2205  437400.00   13613.546362   -6339.724327  -20625.364630      49.828432
    8  R09  2205  438300.00   15981.426989   -5718.622119  -19055.412659      49.830364
    9  R09  2205  439200.00   18175.291995   -5310.865748  -17115.832456      49.831943
   10  R09  2205  440100.00   20135.485158   -5095.887667  -14844.442259      49.833660
   11  R09  2205  441000.00   21809.294182   -5042.811379  -12285.433649      49.835194
   12  R09  2205  441900.00   23152.986106   -5111.969717   -9488.508335      49.837087
   13  R09  2205  442800.00   24133.481753   -5256.797532   -6507.913263      49.838676
   14  R09  2205  443700.00   24729.601461   -5426.018123   -3401.392646      49.840060
   15  R09  2205  444600.00   24932.832104   -5566.030930    -229.076893      49.841582
   16  R09  2205  445500.00   24747.585196   -5623.399996    2947.670693      49.843152
   17  R09  2205  446400.00   24190.936723   -5547.338890    6067.427944      49.845055
   18  R09  2205  447300.00   23291.860571   -5292.088146    9069.886922      49.846623
   19  R09  2205  448200.00   22089.987997   -4819.085901   11897.004568      49.848576
   20  R09  2205  449100.00   20633.944852   -4098.840987   14494.109941      49.850018
   21  R09  2205  450000.00   18979.335363   -3112.430010   16810.947963      49.851930
   22  R09  2205  450900.00   17186.455526   -1852.555253   18802.640740      49.853567
   23  R09  2205  451800.00   15317.830136    -324.118173   20430.549008      49.855777
   24  R09  2205  452700.00   13435.674608    1455.717112   21663.017904      49.857498
   25  R09  2205  453600.00   11599.385859    3457.975157   22475.993177      49.858869
   26  R09  2205  454500.00    9863.165504    5642.819216   22853.496008      49.860395
   27  R09  2205  455400.00    8273.873423    7960.963331   22787.946887      49.862171
   28  R09  2205  456300.00    6869.200651   10355.490765   22280.331379      49.864562
   29  R09  2205  457200.00    5676.237750   12764.005994   21340.203254      49.866710
   30  R09  2205  458100.00    4710.498885   15121.033190   19985.523172      49.868303
   31  R09  2205  459000.00    3975.443211   17360.563223   18242.334086      49.869971
   32  R09  2205  459900.00    3462.514694   19418.644200   16144.277597      49.871602
   33  R09  2205  460800.00    3151.699797   21235.907788   13731.958664      49.873222
   34  R09  2205  461700.00    3012.580589   22759.925335   11052.169364      49.874877
   35  R09  2205  462600.00    3005.839523   23947.294071    8156.985572      49.876573
   36  R09  2205  463500.00    3085.152540   24765.364346    5102.753524      49.878493
   37  R09  2205  464400.00    3199.389946   25193.533585    1948.986058      49.880511
   38  R09  2205  465300.00    3295.030778   25224.050765   -1242.809241      49.882448
   39  R09  2205  466200.00    3318.686588   24862.296071   -4410.345831      49.884353
   40  R09  2205  467100.00    3219.625409   24126.522990   -7491.792424      49.886071
   41  R09  2205  468000.00    2952.186358   23047.073391  -10426.999494      49.888335
   42  R09  2205  468900.00    2477.979901   21665.099034  -13158.692000      49.889943
   43  R09  2205  469800.00    1767.778132   20030.844410  -15633.603085      49.892311
   44  R09  2205  470700.00     803.013001   18201.564717  -17803.524959      49.894190
   45  R09  2205  471600.00    -423.182399   16239.168360  -19626.255331      49.896082
   46  R09  2205  472500.00   -1905.434407   14207.684861  -21066.420341      49.897889
   47  R09  2205  473400.00   -3626.114306   12170.666037  -22096.157959      49.900077
   48  R09  2205  474300.00   -5555.849268   10188.630486  -22695.649165      49.901781
   49  R09  2205  475200.00   -7654.536741    8316.658842  -22853.487589      49.903643
   50  R09  2205  476100.00   -9872.819028    6602.240050  -22566.881888      49.905762
   51  R09  2205  477000.00  -12153.955580    5083.457595  -21841.688522      49.907516
   52  R09  2205  477900.00  -14436.014109    3787.589618  -20692.276005      49.909301
   53  R09  2205  478800.00  -16654.288693    2730.178976  -19141.224885      49.910819
   54  R09  2205  479700.00  -18743.844007    1914.609270  -17218.870719      49.912801
   55  R09  2205  480600.00  -20642.080028    1332.201567  -14962.700110      49.914696
   56  R09  2205  481500.00  -22291.211185     962.824786  -12416.612401      49.916658
   57  R09  2205  482400.00  -23640.557819     775.991511   -9630.061914      49.918906
   58  R09  2205  483300.00  -24648.555962     732.391011   -6657.097612      49.921021
   59  R09  2205  484200.00  -25284.403302     785.793428   -3555.318733      49.922394
   60  R09  2205  485100.00  -25529.274393     885.244057    -384.766284      49.923991
   61  R09  2205  486000.00  -25377.055994     977.454979    2793.228733      49.925773
   62  R09  2205  486900.00  -24834.573202    1009.293480    5917.218894      49.927586
   63  R09  2205  487800.00  -23921.297875     930.262988    8926.814038      49.929759
   64  R09  2205  488700.00  -22668.552003     694.872781   11763.833539      49.931668
   65  R09  2205  489600.00  -21118.239207     264.797449   14373.416157      49.933587
   66  R09  2205  490500.00  -19321.156694    -389.264206   16705.067337      49.934779
   67  R09  2205  491400.00  -17334.956972   -1286.108858   18713.624967      49.936488
   68  R09  2205  492300.00  -15221.842811   -2432.989493   20360.126069      49.938119
   69  R09  2205  493200.00  -13046.089750   -3825.062062   21612.558555      49.939720
   70  R09  2205  494100.00  -10871.497519   -5445.342859   22446.484052      49.941241
   71  R09  2205  495000.00   -8758.874790   -7265.180757   22845.519894      49.942687
   72  R09  2205  495900.00   -6763.660524   -9245.227346   22801.670577      49.944279
   73  R09  2205  496800.00   -4933.779953  -11336.867524   22315.501425      49.945745
   74  R09  2205  497700.00   -3307.823993  -13484.053887   21396.149763      49.947206
   75  R09  2205  498600.00   -1913.627984  -15625.471156   20061.171675      49.949389
   76  R09  2205  499500.00    -767.309545  -17696.942619   18336.225343      49.951036
   77  R09  2205  500400.00     127.193453  -19633.979662   16254.595031      49.953104
   78  R09  2205  501300.00     778.064454  -21374.368632   13856.562980      49.955044
   79  R09  2205  502200.00    1205.030889  -22860.686679   11188.639735      49.956851
   80  R09  2205  503100.00    1438.291500  -24042.640331    8302.666631      49.959223
   81  R09  2205  504000.00    1516.993292  -24879.127169    5254.807249      49.960665
   82  R09  2205  504900.00    1487.322663  -25339.932080    2104.447519      49.962647
   83  R09  2205  505800.00    1400.292381  -25406.984710   -1086.973418      49.963892
   84  R09  2205  506700.00    1309.319627  -25075.123258   -4257.177497      49.965608
   85  R09  2205  507600.00    1267.699807  -24352.330915   -7344.281705      49.967561
   86  R09  2205  508500.00    1326.085648  -23259.434071  -10288.025616      49.969636
   87  R09  2205  509400.00    1530.081061  -21829.274738  -13030.966387      49.971576
   88  R09  2205  510300.00    1918.054221  -20105.392511  -15519.615897      49.973815
   89  R09  2205  511200.00    2519.264713  -18140.272575  -17705.496179      49.976069
